host;consumer_group;time;cpu;dbtime;iowait;oth_wait;pxqry;pxqtime;pxrel;read;reqs;write;yields
1;adw_unload_group;2018-11-02 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;222.0;0.0;1.0
1;adw_unload_group;2018-11-02 01:00:00;6.6;17.6;2.8;8.2;21.0;0.0;234.0;3975.4;1317.0;4922.0;2519.0
1;adw_unload_group;2018-11-02 02:00:00;34.1;38.2;1.8;4.2;46.0;0.0;484.0;5922.7;1264.0;3417.5;34294.0
1;adw_unload_group;2018-11-02 03:00:00;26.7;35.3;3.3;5.3;33.0;0.6;457.0;2982.9;1307.0;5694.9;27567.0
1;adw_unload_group;2018-11-02 04:00:00;0.1;0.2;0.0;0.1;1.0;0.0;16.0;4.6;245.0;0.0;11.0
1;adw_unload_group;2018-11-02 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145.0;0.0;0.0
1;adw_unload_group;2018-11-02 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;242.0;0.0;0.0
1;adw_unload_group;2018-11-02 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;131.0;1.2;0.0
1;adw_unload_group;2018-11-02 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;177.0;0.0;0.0
1;adw_unload_group;2018-11-02 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;280.0;0.0;2.0
1;adw_unload_group;2018-11-02 10:00:00;13.6;14.2;0.2;1.0;4.0;0.0;79.0;3838.1;330.0;736.6;7941.0
1;adw_unload_group;2018-11-02 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211.0;0.0;1.0
1;adw_unload_group;2018-11-02 12:00:00;7.6;23.6;5.8;10.2;2.0;0.0;64.0;657.0;547.0;20626.4;5502.0
1;adw_unload_group;2018-11-02 13:00:00;5.7;13.6;5.9;2.9;0.0;0.0;0.0;288.3;502.0;21581.3;2955.0
1;adw_unload_group;2018-11-02 14:00:00;3.4;8.2;3.5;1.3;2.0;0.0;64.0;167.0;555.0;11926.4;1605.0
1;adw_unload_group;2018-11-02 15:00:00;1.4;1.8;0.2;0.3;18.0;0.0;160.0;505.0;279.0;214.9;407.0
1;adw_unload_group;2018-11-02 16:00:00;1.2;1.6;0.2;0.4;15.0;0.0;120.0;526.9;465.0;193.4;298.0
1;adw_unload_group;2018-11-02 17:00:00;1.3;1.7;0.1;0.6;29.0;0.0;214.0;487.7;566.0;118.7;226.0
1;adw_unload_group;2018-11-02 18:00:00;1.1;1.5;0.2;0.4;13.0;0.0;94.0;379.9;585.0;142.2;212.0
1;adw_unload_group;2018-11-02 19:00:00;9.8;13.4;0.5;3.1;10.0;0.0;128.0;794.5;428.0;164.4;3758.0
1;adw_unload_group;2018-11-02 20:00:00;1.5;1.7;0.2;0.2;19.0;0.0;140.0;598.7;648.0;163.4;343.0
1;adw_unload_group;2018-11-02 21:00:00;1.4;1.7;0.2;0.3;14.0;0.0;104.0;635.2;608.0;207.8;257.0
1;adw_unload_group;2018-11-02 22:00:00;1.4;1.7;0.2;0.1;40.0;0.0;292.0;672.7;740.0;283.4;290.0
1;adw_unload_group;2018-11-02 23:00:00;0.3;0.6;0.1;0.2;19.0;0.0;136.0;151.3;725.0;77.6;58.0
1;adw_unload_group;2018-11-03 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;700.0;0.0;0.0
1;adw_unload_group;2018-11-03 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;481.0;0.0;2.0
1;adw_unload_group;2018-11-03 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;343.0;0.0;2.0
1;adw_unload_group;2018-11-03 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;328.0;0.0;2.0
1;adw_unload_group;2018-11-03 04:00:00;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;154.0;0.0;0.0
1;adw_unload_group;2018-11-03 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;640.0;0.0;1.0
1;adw_unload_group;2018-11-03 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;663.0;0.0;0.0
1;adw_unload_group;2018-11-03 07:00:00;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;738.0;1.2;5.0
1;adw_unload_group;2018-11-03 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;681.0;0.0;0.0
1;adw_unload_group;2018-11-03 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;608.0;0.0;0.0
1;adw_unload_group;2018-11-03 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;687.0;0.0;0.0
1;adw_unload_group;2018-11-03 11:00:00;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;582.0;0.0;0.0
1;adw_unload_group;2018-11-03 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;681.0;0.0;0.0
1;adw_unload_group;2018-11-03 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;633.0;0.0;0.0
1;adw_unload_group;2018-11-03 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;664.0;0.0;0.0
1;adw_unload_group;2018-11-03 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;646.0;0.0;1.0
1;adw_unload_group;2018-11-03 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;639.0;0.0;0.0
1;adw_unload_group;2018-11-03 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;663.0;0.0;1.0
1;adw_unload_group;2018-11-03 18:00:00;1.0;4.4;1.3;2.1;0.0;0.0;0.0;384.5;763.0;2045.1;369.0
1;adw_unload_group;2018-11-03 19:00:00;0.6;1.2;0.3;0.3;1.0;0.0;16.0;162.6;674.0;1563.5;56.0
1;adw_unload_group;2018-11-03 20:00:00;0.5;0.8;0.2;0.1;0.0;0.0;0.0;244.3;647.0;629.8;39.0
1;adw_unload_group;2018-11-03 21:00:00;6.8;40.4;31.5;2.1;9.0;0.0;80.0;1159.7;1743.0;7421.5;2295.0
1;adw_unload_group;2018-11-03 22:00:00;1.3;13.0;5.5;6.2;8.0;0.0;128.0;1471.8;774.0;2934.8;313.0
1;adw_unload_group;2018-11-03 23:00:00;0.7;2.5;1.6;0.2;0.0;0.0;0.0;21.7;688.0;669.4;116.0
1;adw_unload_group;2018-11-04 00:00:00;0.9;5.4;1.4;4.0;8.0;0.0;128.0;375.0;700.0;1596.5;229.0
1;adw_unload_group;2018-11-04 01:00:00;23.3;48.5;32.9;15.1;31.0;2.6;514.0;3531.2;1632.0;17185.0;23227.0
1;adw_unload_group;2018-11-04 02:00:00;33.4;39.0;4.2;15.9;107.0;1.6;1552.0;5445.4;3403.0;12293.0;50890.0
1;adw_unload_group;2018-11-04 03:00:00;25.9;34.4;3.4;5.1;29.0;2.7;340.0;3676.6;1431.0;7961.2;40587.0
1;adw_unload_group;2018-11-04 04:00:00;2.5;5.4;0.1;2.8;16.0;0.0;204.0;321.4;1072.0;1451.2;337.0
1;adw_unload_group;2018-11-04 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;812.0;0.0;0.0
1;adw_unload_group;2018-11-04 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;791.0;0.0;1.0
1;adw_unload_group;2018-11-04 17:00:00;1.0;1.1;0.1;0.0;333.0;0.0;2616.0;87.6;3371.0;170.8;130.0
1;adw_unload_group;2018-11-04 18:00:00;0.9;1.0;0.2;0.0;294.0;0.0;2252.0;153.5;2995.0;137.7;180.0
1;adw_unload_group;2018-11-04 19:00:00;0.3;0.4;0.1;0.0;289.0;0.0;2272.0;25.1;2930.0;433.9;71.0
1;adw_unload_group;2018-11-04 20:00:00;10.6;14.4;1.6;2.9;10.0;0.0;131.0;1770.8;1992.0;8451.6;9112.0
1;adw_unload_group;2018-11-04 21:00:00;22.0;27.3;2.0;3.3;6.0;0.0;160.0;815.4;654.0;6321.9;10613.0
1;adw_unload_group;2018-11-04 22:00:00;9.5;11.2;0.3;1.4;2.0;0.0;64.0;478.0;331.0;216.3;2520.0
1;adw_unload_group;2018-11-04 23:00:00;0.0;0.1;0.1;0.0;25.0;0.0;172.0;7.3;472.0;53.4;5.0
1;adw_unload_group;2018-11-05 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;431.0;0.0;1.0
1;adw_unload_group;2018-11-05 01:00:00;3.6;5.1;0.5;1.9;38.0;0.0;340.0;4062.4;1913.0;4707.9;1262.0
1;adw_unload_group;2018-11-05 02:00:00;40.1;45.2;1.8;3.3;48.0;0.5;577.0;6446.5;1886.0;4119.5;66365.0
1;adw_unload_group;2018-11-05 03:00:00;7.3;11.3;1.2;2.8;43.0;0.2;484.0;2999.1;1498.0;2285.0;3418.0
1;adw_unload_group;2018-11-05 04:00:00;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;738.0;0.0;0.0
1;adw_unload_group;2018-11-05 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;722.0;0.0;0.0
1;adw_unload_group;2018-11-05 06:00:00;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;729.0;0.1;0.0
1;adw_unload_group;2018-11-05 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;723.0;4.6;4.0
1;adw_unload_group;2018-11-05 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;747.0;0.0;1.0
1;adw_unload_group;2018-11-05 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;715.0;0.0;0.0
1;adw_unload_group;2018-11-05 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;696.0;0.0;0.0
1;adw_unload_group;2018-11-05 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;667.0;0.0;0.0
1;adw_unload_group;2018-11-05 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;644.0;0.0;0.0
1;adw_unload_group;2018-11-05 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;672.0;0.0;1.0
1;adw_unload_group;2018-11-05 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;687.0;0.0;1.0
1;adw_unload_group;2018-11-05 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;758.0;0.0;0.0
1;adw_unload_group;2018-11-05 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;774.0;0.0;1.0
1;adw_unload_group;2018-11-05 17:00:00;1.0;1.1;0.1;0.0;319.0;0.0;2488.0;94.8;3170.0;214.4;92.0
