host;time;sys_actsess_max;sys_cpu;sys_iowait;sys_oswait;sys_pga;sys_pxqct;sys_pxruns;sys_pxsrvt;sys_read;sys_redo;sys_rmwait;sys_syspct;sys_write
1;2018-11-02 00:00:00;237.9;39.0;21.9;0.8;17064.1;15.9;305.9;179.4;5079.3;25.0;16.4;10.2;144.7
1;2018-11-02 01:00:00;313.8;47.9;15.4;1.0;15388.9;18.3;794.4;251.9;5122.0;30.6;6.6;12.8;172.4
1;2018-11-02 02:00:00;259.7;69.0;10.2;1.0;40204.6;15.3;855.3;291.1;6936.4;29.8;3.3;13.9;182.9
1;2018-11-02 03:00:00;334.4;57.1;24.4;1.1;48704.0;15.7;244.8;327.9;3857.7;34.0;0.8;11.7;228.8
1;2018-11-02 04:00:00;167.0;35.1;4.1;0.8;40982.4;4.3;294.9;72.4;1829.2;38.7;0.7;8.9;522.2
1;2018-11-02 05:00:00;214.2;35.5;4.2;0.9;41838.2;3.3;329.6;49.5;1566.3;52.4;1.0;10.0;280.9
1;2018-11-02 06:00:00;246.0;41.8;5.5;0.8;13806.9;2.8;281.0;58.5;1830.8;41.1;0.2;10.1;264.0
1;2018-11-02 07:00:00;291.0;59.5;6.2;1.3;13851.8;3.1;286.5;57.1;1573.6;77.7;0.3;15.2;374.8
1;2018-11-02 08:00:00;273.0;49.3;6.0;1.2;15686.4;2.9;251.6;54.2;5829.7;82.9;0.1;13.4;421.0
1;2018-11-02 09:00:00;258.9;38.7;11.4;0.9;19244.3;3.2;273.9;61.2;8887.1;64.0;0.5;11.1;319.6
1;2018-11-02 10:00:00;264.4;56.4;7.0;1.1;26663.4;5.0;280.1;127.1;4756.2;76.4;0.3;13.5;451.0
1;2018-11-02 11:00:00;261.3;43.5;6.9;1.1;12949.7;4.1;238.5;90.3;2422.2;77.0;1.2;12.0;417.2
1;2018-11-02 12:00:00;336.0;51.5;17.2;1.3;43738.1;9.7;232.0;228.8;1516.3;69.3;0.0;15.9;346.4
1;2018-11-02 13:00:00;285.9;55.5;15.2;1.3;46429.7;8.5;190.2;182.4;756.0;80.7;0.0;16.2;403.7
1;2018-11-02 14:00:00;280.0;43.6;10.9;1.1;18684.2;8.9;224.5;163.1;644.6;88.3;0.0;13.2;427.4
1;2018-11-02 15:00:00;271.0;40.1;11.7;1.0;21163.2;6.2;208.4;121.1;1417.5;74.4;0.0;11.5;412.9
1;2018-11-02 16:00:00;276.7;34.5;7.2;0.9;17290.1;5.4;208.9;99.9;910.7;69.5;0.0;10.7;336.1
1;2018-11-02 17:00:00;238.6;31.4;5.6;0.8;10242.9;3.9;195.1;57.4;510.5;68.6;0.0;9.4;1316.3
1;2018-11-02 18:00:00;222.9;29.9;9.3;0.9;10190.6;3.0;192.4;40.8;412.7;60.9;0.0;9.8;994.9
1;2018-11-02 19:00:00;152.6;38.5;22.0;0.9;72938.6;6.2;192.9;113.5;869.0;56.6;0.0;10.5;455.4
1;2018-11-02 20:00:00;170.3;23.9;7.8;0.8;10046.7;3.0;207.3;41.2;684.2;43.5;0.0;7.8;223.6
1;2018-11-02 21:00:00;117.6;15.1;16.4;0.5;10061.7;3.0;197.6;41.4;709.1;21.4;0.0;5.6;115.5
1;2018-11-02 22:00:00;102.7;15.4;16.7;0.5;10022.1;3.0;213.1;41.3;722.1;24.6;0.0;5.0;125.2
1;2018-11-02 23:00:00;299.9;35.6;5.4;0.9;31533.0;6.0;210.8;127.9;1033.5;41.2;0.0;10.7;220.9
1;2018-11-03 00:00:00;238.6;40.7;9.6;0.7;33955.0;16.6;353.9;195.8;11746.0;38.3;5.3;9.1;228.0
1;2018-11-03 01:00:00;151.8;43.5;6.4;0.8;22330.7;17.1;754.5;189.2;1387.0;39.3;2.0;10.2;198.2
1;2018-11-03 02:00:00;898.0;31.5;3.0;0.7;23216.4;8.7;835.4;145.4;1185.2;46.7;0.6;7.7;247.2
1;2018-11-03 03:00:00;140.6;19.8;10.9;0.7;22852.6;7.6;191.7;138.6;73.6;39.5;0.0;6.7;236.2
1;2018-11-03 04:00:00;128.6;23.0;3.5;0.6;41040.0;5.1;202.3;97.4;122.7;38.6;0.0;6.9;451.7
1;2018-11-03 05:00:00;116.1;18.0;2.9;0.6;33774.9;4.3;209.1;85.1;128.0;32.8;0.0;6.1;212.7
1;2018-11-03 06:00:00;137.5;22.8;15.4;0.6;13314.7;3.8;225.0;103.4;673.3;29.2;0.0;6.9;189.8
1;2018-11-03 07:00:00;230.4;33.5;15.2;0.9;10272.6;2.9;210.4;59.9;6615.3;60.8;0.0;10.1;316.0
1;2018-11-03 08:00:00;216.8;19.4;18.3;0.7;9988.0;2.2;194.4;33.9;5491.5;30.2;0.0;7.2;180.2
1;2018-11-03 09:00:00;185.7;18.9;5.4;0.6;10229.6;2.8;220.2;47.4;908.9;35.8;0.0;6.3;199.9
1;2018-11-03 10:00:00;95.8;20.1;5.8;0.7;9891.5;2.1;203.8;33.1;72.6;49.7;0.0;6.9;221.6
1;2018-11-03 11:00:00;227.2;18.0;5.3;0.6;9925.0;2.2;205.0;33.1;79.9;39.1;0.0;6.2;180.1
1;2018-11-03 12:00:00;118.0;19.3;4.9;0.6;9999.6;2.1;210.7;33.9;101.7;39.7;0.0;6.5;191.7
1;2018-11-03 13:00:00;85.1;22.0;4.6;0.5;19306.8;2.1;218.7;33.2;54.1;33.4;0.0;5.6;585.0
1;2018-11-03 14:00:00;104.5;23.8;4.5;0.5;19295.7;2.1;204.3;33.1;43.3;26.9;0.0;5.3;568.8
1;2018-11-03 15:00:00;113.0;19.0;4.3;0.5;19283.7;2.0;206.2;33.1;46.9;19.9;0.0;4.8;561.1
1;2018-11-03 16:00:00;105.9;17.0;2.0;0.4;19031.5;1.0;217.1;1.1;57.6;27.3;0.0;3.8;593.5
1;2018-11-03 17:00:00;77.2;15.0;2.0;0.3;18927.3;1.1;216.1;1.9;46.0;15.8;0.0;3.3;571.7
1;2018-11-03 18:00:00;114.0;14.4;3.4;0.3;21625.4;9.1;218.0;129.2;410.2;11.2;0.0;3.3;689.5
1;2018-11-03 19:00:00;38.8;14.7;2.4;0.3;21773.8;9.1;196.8;129.5;223.5;11.3;0.0;3.3;562.3
1;2018-11-03 20:00:00;37.5;13.8;2.3;0.3;21409.2;8.1;187.4;113.1;287.0;10.0;0.0;2.9;589.7
