HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 12/12/2018 23:59:14, 128163, 43.5, 82.3, 11.4, 2670.9, 240.2, 47.6, 0.9, 0.6, 314, 210.6, 23006, 385.6, 9.8, 243.8, 100.4, 9.1
1, 13/12/2018 00:19:14, 128164, 46.4, 87.1, 12.6, 11331.3, 221, 49.4, 1, 5.9, 297.6, 222.9, 23828.4, 352, 12.8, 244.4, 112.8, 17.4
1, 13/12/2018 00:40:13, 128165, 43, 89.4, 10.3, 3199.9, 204.1, 38.1, 0.8, 5.8, 384.2, 228.8, 60451.1, 390.9, 19.5, 296.3, 85.3, 7.6
1, 13/12/2018 01:00:13, 128166, 56.7, 112.6, 14.3, 4621.4, 211, 35.5, 1.1, 1.8, 395.4, 288.3, 66767.3, 974.6, 23.9, 383.9, 91.4, 18.2
1, 13/12/2018 01:20:13, 128167, 49, 89.2, 12.7, 1692.9, 148.8, 32.5, 1, 0.4, 280.9, 228.4, 23124.9, 711, 19.8, 303.8, 99.2, 19.6
1, 13/12/2018 01:40:13, 128168, 48, 72.3, 12.7, 3760.2, 167.8, 31.6, 0.9, 0.5, 222.4, 185, 20618, 737.9, 18.9, 316.9, 93.7, 13.7
1, 13/12/2018 02:00:13, 128169, 40.6, 69.2, 10.4, 1787.9, 198.6, 41.7, 0.8, 0, 214.6, 177.2, 13398.1, 907.3, 13, 204.3, 93, 8.2
1, 13/12/2018 02:20:12, 128170, 40, 58.4, 10.1, 5989.8, 156.8, 34.6, 0.8, 0, 243.5, 149.4, 30299.3, 830.3, 15.1, 203.8, 80, 6.9
1, 13/12/2018 02:40:12, 128171, 77.6, 101.5, 14.5, 8277.7, 215.6, 22.8, 2, 1.3, 312.4, 259.9, 49157.2, 1112.4, 19.2, 355, 65.7, 7.2
1, 13/12/2018 02:59:13, 128172, 60.9, 95.7, 12.4, 4347.7, 170, 26.8, 3, 1.5, 337.7, 245, 36164.3, 459.4, 17.4, 305.5, 72.5, 12.1
