HOST, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 14/11/2018 23:59:26, 30.8, 35.8, 8.3, 560.3, 195.9, 39.2, 0.7, 0, 120.3, 91.7, 20223.5, 337, 5.8, 153, 95.4, 7.9
1, 15/11/2018 00:20:27, 24.8, 35.3, 5.8, 5167.8, 133.5, 26.2, 0.5, 4.3, 144.6, 90.3, 23147.8, 303.3, 7.5, 140.3, 79.7, 5.6
1, 15/11/2018 00:40:27, 36.7, 61.3, 7.7, 2077.2, 125.5, 22.1, 0.6, 19.8, 264.5, 157, 24371.9, 384.8, 15.3, 237.3, 65.8, 3.3
1, 15/11/2018 00:59:26, 53, 93.4, 12.8, 3665.8, 182.3, 28.6, 1.1, 16.6, 369.9, 239, 31716.5, 1011.5, 23.3, 365, 68.9, 9.9
1, 15/11/2018 01:20:27, 42.9, 65.4, 10.1, 2384.5, 128, 21, 0.8, 9.2, 266.1, 167.5, 30362.8, 720.5, 22.6, 311.9, 58.8, 10.3
1, 15/11/2018 01:39:27, 32.9, 51.9, 8, 1137.1, 78.8, 9, 0.6, 7.8, 216.9, 133, 28621.4, 737, 21.6, 286.8, 31.1, 10.4
1, 15/11/2018 01:59:26, 28.8, 54.7, 6.3, 1129.1, 98.7, 18.3, 0.5, 1.8, 339.7, 140, 27248.7, 811.3, 20.3, 273.5, 26.6, 10.4
1, 15/11/2018 02:20:26, 37.2, 109.5, 8, 4968, 109, 18, 0.6, 0.2, 426.7, 280.4, 37235.5, 890.1, 20.6, 287.3, 37.1, 14.4
1, 15/11/2018 02:39:26, 63.5, 93.4, 11.5, 5102.1, 96.5, 14.5, 0.7, 0.5, 277.9, 239, 56403.3, 976.6, 25.7, 418.9, 38.8, 18.2
1, 15/11/2018 02:59:26, 67.7, 101, 13.1, 5013.9, 150.8, 22.8, 1.3, 0.5, 315.9, 258.5, 52700.9, 374.6, 24.3, 401.7, 43.9, 18.5
1, 15/11/2018 03:19:26, 31.7, 65.5, 8.5, 769, 185.3, 30.8, 0.7, 0, 285.7, 167.6, 45466.2, 349.1, 23.4, 399.5, 58.5, 22.6
1, 15/11/2018 03:39:26, 40.2, 72.2, 10.5, 1745.4, 218.9, 37.4, 0.8, 0, 268.7, 184.8, 24274.5, 339.6, 18.9, 388.2, 71.5, 23.1
1, 15/11/2018 03:59:26, 35.5, 67.1, 9.2, 744.7, 274.3, 37.5, 0.8, 0, 238.3, 171.7, 62361.9, 318, 14.2, 201.4, 81.9, 17.9
1, 15/11/2018 04:20:26, 39.9, 57.2, 9.4, 402.3, 565.8, 35, 0.7, 0, 240.5, 146.4, 63556.4, 351.2, 9, 164.2, 61.9, 16.5
1, 15/11/2018 04:39:26, 29.4, 54.5, 6.5, 166.3, 563.5, 27.7, 0.6, 0, 231.1, 139.6, 51101.8, 364.4, 7.2, 144.7, 52.8, 21.8
1, 15/11/2018 04:59:26, 35.4, 38.2, 8, 241.4, 546.6, 33.4, 0.6, 0, 161, 97.8, 56896.5, 355.6, 6, 110.8, 72.8, 8.6
1, 15/11/2018 05:19:26, 29.5, 53.9, 7.3, 453.1, 252.5, 35.6, 0.6, 0, 265.1, 137.9, 50601.3, 317.4, 5.4, 101.2, 68.6, 16.2
1, 15/11/2018 05:39:26, 23.4, 38, 6.5, 547, 175.5, 33.9, 0.6, 0, 188.9, 97.3, 47545.7, 331.1, 4.7, 88.7, 70.9, 8.6
1, 15/11/2018 05:59:25, 40, 69.6, 10.2, 1096.5, 277.4, 40.6, 0.8, 0, 245.9, 178.2, 58185.2, 332.2, 6, 147.5, 90.5, 14.5
1, 15/11/2018 06:20:25, 35.3, 53.1, 9.8, 373.3, 286.6, 43.3, 0.8, 0, 180.9, 136.1, 53189.2, 320.3, 5.1, 95.5, 97.5, 10.2
1, 15/11/2018 06:39:26, 31.9, 49.7, 9.2, 390.2, 283.6, 50.9, 0.8, 0, 174.5, 127.1, 10353.9, 303.5, 4.1, 59.7, 102.4, 9.8
1, 15/11/2018 07:00:25, 38.1, 67.2, 10.6, 593.9, 320.2, 62.9, 0.9, 0, 259.9, 172, 17990.9, 312.8, 4.4, 64.2, 128.8, 12.7
1, 15/11/2018 07:20:25, 44.2, 64.3, 12, 723.3, 399.7, 71.8, 1, 0, 207.5, 164.6, 18544.6, 306.9, 4.5, 74.6, 130.9, 16
1, 15/11/2018 07:39:25, 49.1, 68.8, 13.2, 654.5, 386.5, 71, 1.1, 0, 273.9, 176.2, 13574.5, 329.1, 4.3, 91, 142.6, 16.5
1, 15/11/2018 07:59:25, 61.3, 82.3, 17, 264.4, 459.3, 72.8, 1.3, 0, 270.2, 210.7, 14783.1, 288.9, 5.7, 86.6, 169.1, 17.1
1, 15/11/2018 08:19:25, 54.6, 68.8, 15.7, 498, 458.6, 66.3, 1.2, 0, 213.1, 176.2, 14958.4, 328.1, 4.7, 94.4, 165.4, 26
1, 15/11/2018 08:39:25, 48.4, 97.5, 13.1, 9555.8, 380.8, 53.3, 1, 0, 388.5, 249.6, 25855.7, 281.4, 4.1, 91.9, 129.1, 15.7
1, 15/11/2018 08:59:25, 56.5, 85.2, 16.3, 23176.5, 420.6, 76.6, 1.3, 0, 263.9, 218.2, 36009.8, 331.6, 4.3, 86.5, 167.7, 23.9
1, 15/11/2018 09:19:24, 53.1, 90.8, 14.6, 739.5, 371.2, 71.3, 1.1, 0, 348.9, 232.5, 37537, 385.2, 4, 90.8, 146.1, 23.1
1, 15/11/2018 09:40:24, 34, 93, 9.9, 259.5, 296.3, 63.1, 0.9, 0, 308.3, 238, 37503.6, 282.3, 4, 89.3, 133, 56.7
1, 15/11/2018 09:59:25, 49.3, 71, 14.8, 283.1, 407.7, 73.2, 1.1, 0, 229.5, 181.8, 40790.1, 265.2, 4.9, 120.7, 151.6, 22.1
1, 15/11/2018 10:19:25, 43.7, 80.7, 13.4, 519.1, 359.4, 75.5, 1, 0, 291.9, 206.6, 10458.7, 300, 3.6, 71.1, 146.9, 30.3
1, 15/11/2018 10:39:25, 55.1, 80.9, 16.1, 888.4, 407.2, 71.4, 1.2, 0, 295.1, 207.2, 14449.4, 344.4, 4, 96.1, 165.7, 25
1, 15/11/2018 10:59:25, 38.9, 92.2, 11.8, 257.1, 359.5, 55.5, 1.2, 0, 421.1, 235.9, 17310.2, 357.2, 3.9, 88.3, 122.3, 23.6
1, 15/11/2018 11:19:34, 54.8, 117.1, 13.1, 352.2, 279.9, 46.1, 2.5, 0, 590, 299.8, 11665.6, 315.1, 4.7, 134.1, 108.5, 15.8
1, 15/11/2018 11:39:34, 47.8, 58.2, 10.5, 1721.5, 285.6, 53, 0.8, 0, 249.4, 149, 23725.6, 261.3, 4, 103.5, 87.8, 8.2
1, 15/11/2018 11:59:34, 50.9, 71.6, 10.8, 862, 335.2, 61.9, 0.9, 0, 315.5, 183.3, 10212.2, 257.8, 3.6, 80.7, 114, 10
1, 15/11/2018 12:19:34, 38.4, 79.7, 10, 867.8, 246, 53.4, 0.8, 0, 333.7, 204.2, 10383.2, 294.4, 2.9, 64.3, 112.7, 19.1
1, 15/11/2018 12:39:34, 38.1, 62.3, 10.4, 875.2, 259.5, 55.4, 0.8, 0, 253.8, 159.6, 11902.4, 292.6, 4, 64.6, 141.5, 20.6
1, 15/11/2018 12:59:33, 40.5, 69.4, 11.3, 888.4, 301.6, 59.8, 0.9, 0, 267, 177.6, 12512.2, 251.4, 3, 72.1, 146.9, 20.4
1, 15/11/2018 13:19:34, 43.9, 57.1, 12.1, 685.9, 308.1, 63, 1, 0, 259.3, 146.1, 10982.2, 320.5, 3.3, 76.1, 168.1, 12.7
1, 15/11/2018 13:39:34, 38.5, 55.3, 10.4, 802.4, 280.2, 60.1, 0.9, 0, 207.7, 141.6, 12493.8, 278, 2.7, 51.1, 159.7, 9.2
