HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 126507, 20/11/2018 00:00:11, 35, 48.2, 10.3, 864.7, 155.4, 30.6, 0.8, 0, 173.9, 123.4, 22244.3, 211.1, 7.5, 137.9, 96, 15.4
1, 126508, 20/11/2018 00:19:11, 29.6, 52.8, 9.2, 762.3, 126.5, 23.3, 0.8, 0, 169.9, 135.1, 21323.7, 214.3, 7, 136.2, 91.5, 23.4
1, 126509, 20/11/2018 00:40:11, 31, 50.7, 9.3, 847.3, 147.5, 24.1, 0.7, 0, 177.3, 129.7, 22154, 198.9, 7.2, 138.5, 103.2, 13.5
1, 126510, 20/11/2018 00:59:11, 46.6, 80.2, 13.8, 3387.1, 174.6, 31.5, 1, 0, 271.4, 205.3, 24001.9, 801.8, 13.9, 264.6, 103.8, 22.3
1, 126511, 20/11/2018 01:19:10, 38.1, 72.5, 10.7, 2304.2, 176.2, 29.8, 0.8, 0, 344.7, 185.5, 31622.9, 610.3, 10.5, 185.9, 93.4, 12.2
1, 126512, 20/11/2018 01:40:11, 23.1, 35.8, 7.3, 724.7, 96.8, 15.6, 0.6, 0, 156.5, 91.5, 21936.1, 727.4, 7.3, 124.9, 66.2, 9.1
1, 126513, 20/11/2018 02:00:10, 20.9, 33.9, 6.2, 718.7, 128.5, 22.2, 0.5, 0, 141.5, 86.8, 21934.6, 768.9, 7.5, 123.9, 47.7, 9.8
1, 126514, 20/11/2018 02:20:10, 18.6, 28, 5.7, 762.7, 112.5, 16.5, 0.5, 0, 89.4, 71.6, 13442.4, 851, 6.7, 115, 38.4, 9.6
1, 126515, 20/11/2018 02:39:11, 14.8, 29.1, 4.7, 696.6, 50.6, 9.6, 0.4, 0, 91.7, 74.6, 12896.1, 210.4, 5.4, 93.3, 41.7, 8.7
1, 126516, 20/11/2018 03:00:11, 17.6, 40, 5.5, 672, 74.7, 15.6, 0.5, 0, 147.1, 102.5, 12882.5, 201.1, 5, 88.2, 41.1, 8.6
1, 126517, 20/11/2018 03:20:11, 30.1, 52.9, 9.1, 686.1, 161, 31.7, 0.8, 0, 229.6, 135.5, 12975.3, 176.4, 5.1, 88.1, 67.2, 11.9
1, 126518, 20/11/2018 03:39:10, 34.3, 47.6, 10.1, 718.4, 171.5, 31.3, 0.9, 0, 194.6, 121.8, 12889, 227.8, 5, 88.1, 85.8, 14.8
1, 126519, 20/11/2018 04:00:10, 40.8, 59.3, 11.6, 644.5, 220.9, 38.8, 0.9, 0, 212.3, 151.8, 47203.8, 213, 5, 88.2, 105.5, 13.8
1, 126520, 20/11/2018 04:20:11, 49, 56.4, 12.6, 593.8, 508.6, 38.8, 1, 0, 192.9, 144.3, 47155, 214.1, 5.9, 90.1, 88.8, 13.6
1, 126521, 20/11/2018 04:39:10, 39.3, 48.2, 9.9, 599.7, 487.2, 30.2, 0.8, 0, 180.4, 123.3, 46861.1, 232.2, 6, 89.1, 83.9, 12.4
1, 126522, 20/11/2018 05:00:10, 26.6, 48.1, 7.2, 268.6, 469.4, 22.3, 0.6, 0, 228.6, 123.2, 46206.8, 213.4, 6.1, 89.2, 61.8, 23.1
1, 126523, 20/11/2018 05:20:10, 25.2, 51.3, 8.3, 124.9, 222.7, 34.1, 0.7, 0, 191.1, 131.5, 45791.4, 169, 5.6, 85.9, 86.6, 12.3
1, 126524, 20/11/2018 05:39:10, 21.7, 37.9, 7.8, 142.3, 159.3, 29.1, 0.7, 0, 218.1, 97, 11162.3, 215, 3.3, 67.3, 93.6, 10.6
1, 126525, 20/11/2018 06:00:10, 41.1, 79.2, 11.7, 745.5, 267.4, 42.9, 0.9, 0, 317.3, 202.7, 23001.7, 203.7, 4.6, 133.4, 94.7, 11.8
1, 126526, 20/11/2018 06:20:10, 35.8, 57, 11.4, 233.8, 272.4, 47.6, 0.9, 0, 271.5, 146, 11381.1, 175.8, 3.8, 78.5, 111, 13
1, 126527, 20/11/2018 06:39:10, 35.4, 52.9, 11.6, 175.1, 290.6, 51.7, 1, 0, 220.6, 135.5, 11180.9, 226, 3, 65.1, 115.7, 13.2
1, 126528, 20/11/2018 07:00:10, 38.3, 66.9, 11.4, 6708.6, 301.1, 53.7, 0.9, 0, 248.1, 171.3, 13949.2, 189.2, 3.9, 93.8, 121.9, 10.8
1, 126529, 20/11/2018 07:19:09, 36.3, 58.9, 11.7, 318, 304, 55.7, 1, 0, 277.3, 150.8, 12153.3, 256.3, 3.5, 68.3, 132.4, 10.3
1, 126530, 20/11/2018 07:40:09, 41.3, 49.8, 13.6, 119, 341.9, 60.4, 1.1, 0, 220.5, 127.5, 10754.6, 192.9, 2, 33.3, 149.1, 11.5
1, 126531, 20/11/2018 08:00:09, 52.3, 71.8, 15.8, 182, 405.8, 67.3, 1.2, 0.1, 340.8, 183.9, 10935.2, 184.9, 5.2, 63.7, 168.7, 11.5
1, 126532, 20/11/2018 08:20:10, 46.5, 62.2, 14.9, 139.5, 364, 68.9, 1.2, 0, 270.3, 159.2, 10850.3, 202.1, 2.9, 34.9, 165.7, 10.9
1, 126533, 20/11/2018 08:40:09, 57.6, 65.5, 17.9, 194.3, 380.7, 73.4, 1.4, 0, 224.8, 167.8, 10971.2, 174.9, 3, 35.1, 188.8, 13.9
1, 126534, 20/11/2018 09:00:09, 54.2, 85.5, 16.2, 189.9, 367.4, 70.7, 1.3, 0, 317, 219, 11341.4, 171.3, 2.9, 32, 170.9, 13.3
