INSTANCE_NUMBER, SNAP_ID, T_BEG, USR_GROUP, CPU, DBTIME, PGA, OTH_WAIT, PXENQ, PXQTIME, PXQRY, PXREL, REQS, YIELDS, IOWAIT, READ, WRITE
1, 127587, 05/12/2018 00:00:10, ADW_UNLOAD_GROUP, 1, 1.3, 30.2, 0.2, 0, 0, 8, 64, 206, 425, 0.1, 114.2, 116.1
1, 127588, 05/12/2018 00:20:31, ADW_UNLOAD_GROUP, 0.7, 1.1, 56, 0.3, 0, 0, 7, 56, 446, 209, 0.1, 116.3, 118.8
1, 127589, 05/12/2018 00:40:04, ADW_UNLOAD_GROUP, 1.6, 2, 43.7, 0.3, 0, 0, 11, 80, 629, 797, 0.1, 591.1, 71.5
1, 127590, 05/12/2018 01:00:12, ADW_UNLOAD_GROUP, 5.3, 25.4, 2831.4, 14.3, 1, 0, 11, 104, 1000, 3457, 5.8, 1785, 4245.7
1, 127591, 05/12/2018 01:20:09, ADW_UNLOAD_GROUP, 7.2, 20.7, 1776.4, 6.8, 2, 0.2, 8, 90, 460, 5271, 6.7, 1442.1, 8090.7
1, 127592, 05/12/2018 01:40:10, ADW_UNLOAD_GROUP, 2.2, 5.4, 1923.1, 1, 3, 1.2, 4, 44, 524, 1247, 2.2, 151.3, 5380.4
1, 127593, 05/12/2018 02:00:28, ADW_UNLOAD_GROUP, 4, 9.1, 818.1, 3.3, 2, 0.3, 27, 208, 880, 2158, 1.8, 1816.3, 2276.6
1, 127594, 05/12/2018 02:20:05, ADW_UNLOAD_GROUP, 2.1, 6.2, 826.8, 3.6, 0, 0, 14, 103, 292, 1154, 0.5, 599.3, 1489.6
1, 127595, 05/12/2018 02:40:07, ADW_UNLOAD_GROUP, 2.8, 6.7, 679.6, 3.5, 2, 0, 25, 194, 482, 1500, 0.4, 837.7, 885.4
1, 127596, 05/12/2018 03:00:32, ADW_UNLOAD_GROUP, 1.5, 4, 460.1, 1.9, 0, 0, 21, 152, 396, 462, 0.6, 230.4, 1644.5
1, 127597, 05/12/2018 03:20:09, ADW_UNLOAD_GROUP, 0.9, 4.8, 578.5, 2.9, 0, 0, 16, 108, 538, 189, 1, 268.6, 765
1, 127598, 05/12/2018 03:40:18, ADW_UNLOAD_GROUP, 0.8, 2.5, 282.5, 0.3, 0, 0, 29, 224, 994, 188, 1.4, 219.4, 799.4
1, 127599, 05/12/2018 04:00:07, ADW_UNLOAD_GROUP, 0, 0, 7, 0, 0, 0, 0, 0, 376, 0, 0, 0, 0
1, 127600, 05/12/2018 04:20:01, ADW_UNLOAD_GROUP, 0, 0, 3.9, 0, 0, 0, 0, 0, 535, 0, 0, 0, 0
1, 127601, 05/12/2018 04:40:02, ADW_UNLOAD_GROUP, 0, 0, 6.2, 0, 0, 0, 0, 0, 661, 0, 0, 0, 0
1, 127602, 05/12/2018 05:00:16, ADW_UNLOAD_GROUP, 0, 0, 7.6, 0, 0, 0, 0, 0, 573, 0, 0, 0, 0
1, 127603, 05/12/2018 05:20:23, ADW_UNLOAD_GROUP, 0, 0, 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 0
1, 127604, 05/12/2018 05:40:17, ADW_UNLOAD_GROUP, 0, 0, 0.9, 0, 0, 0, 0, 0, 572, 1, 0, 0, 0
1, 127605, 05/12/2018 06:00:01, ADW_UNLOAD_GROUP, 0, 0, 3, 0, 0, 0, 0, 0, 535, 0, 0, 0, 0
1, 127606, 05/12/2018 06:20:10, ADW_UNLOAD_GROUP, 0, 0, 1.6, 0, 0, 0, 0, 0, 685, 0, 0, 0, 0
1, 127607, 05/12/2018 06:40:04, ADW_UNLOAD_GROUP, 0, 0.1, 1, 0.1, 0, 0, 0, 0, 571, 0, 0, 0, 0
1, 127608, 05/12/2018 07:00:13, ADW_UNLOAD_GROUP, 0, 0, 1.7, 0, 0, 0, 0, 0, 555, 0, 0, 0, 0
1, 127609, 05/12/2018 07:20:28, ADW_UNLOAD_GROUP, 0, 0, 2, 0, 0, 0, 0, 0, 589, 0, 0, 0, 0
1, 127610, 05/12/2018 07:40:16, ADW_UNLOAD_GROUP, 0, 0, 0.4, 0, 0, 0, 0, 0, 644, 4, 0, 0.1, 4.7
1, 127611, 05/12/2018 08:00:16, ADW_UNLOAD_GROUP, 0, 0, 4.5, 0, 0, 0, 0, 0, 735, 1, 0, 0, 0
1, 127612, 05/12/2018 08:20:12, ADW_UNLOAD_GROUP, 0, 0.4, 3, 0.4, 0, 0, 0, 0, 656, 0, 0, 0, 0
1, 127613, 05/12/2018 08:40:08, ADW_UNLOAD_GROUP, 0, 0, 3.4, 0, 0, 0, 0, 0, 558, 2, 0, 0, 0
1, 127614, 05/12/2018 09:00:04, ADW_UNLOAD_GROUP, 0, 0, 1.6, 0, 0, 0, 0, 0, 524, 1, 0, 0, 0
1, 127615, 05/12/2018 09:20:24, ADW_UNLOAD_GROUP, 0, 0, 1.8, 0, 0, 0, 0, 0, 635, 0, 0, 0, 0
1, 127616, 05/12/2018 09:40:17, ADW_UNLOAD_GROUP, 0, 0, 1.7, 0, 0, 0, 0, 0, 555, 1, 0, 0, 0
1, 127617, 05/12/2018 10:00:01, ADW_UNLOAD_GROUP, 0, 0.3, 3.1, 0.3, 0, 0, 0, 0, 492, 1, 0, 0, 0.1
1, 127618, 05/12/2018 10:20:08, ADW_UNLOAD_GROUP, 0, 0.2, 7.4, 0.2, 0, 0, 0, 0, 526, 4, 0, 0.1, 3.2
1, 127619, 05/12/2018 10:40:07, ADW_UNLOAD_GROUP, 0, 0, 1.3, 0, 0, 0, 0, 0, 470, 2, 0, 0.1, 1.2
1, 127620, 05/12/2018 11:00:03, ADW_UNLOAD_GROUP, 0, 0, 1.8, 0, 0, 0, 0, 0, 650, 0, 0, 0, 0
1, 127621, 05/12/2018 11:20:01, ADW_UNLOAD_GROUP, 0, 0, 0.8, 0, 0, 0, 0, 0, 596, 0, 0, 0, 0
1, 127622, 05/12/2018 11:40:16, ADW_UNLOAD_GROUP, 0, 0, 3.2, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0
1, 127623, 05/12/2018 12:00:13, ADW_UNLOAD_GROUP, 0, 0, 1.7, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0
1, 127624, 05/12/2018 12:20:30, ADW_UNLOAD_GROUP, 0, 0, 1.6, 0, 0, 0, 0, 0, 269, 1, 0, 0, 0
1, 127626, 05/12/2018 13:00:22, ADW_UNLOAD_GROUP, 2.2, 2.7, 1274.7, 0.4, 0, 0, 9, 128, 478, 965, 0.1, 340.2, 240.6
1, 127627, 05/12/2018 13:20:09, ADW_UNLOAD_GROUP, 22.2, 26.5, 13868.1, 3.4, 6, 0, 28, 352, 1486, 28349, 0.9, 6351.2, 1152.2
1, 127628, 05/12/2018 13:40:15, ADW_UNLOAD_GROUP, 20, 22.9, 17291.1, 2.6, 17, 1.3, 17, 196, 1547, 24542, 0.3, 2951.1, 436
1, 127629, 05/12/2018 14:00:42, ADW_UNLOAD_GROUP, 15.4, 30.6, 9189.8, 13.8, 13, 2.2, 17, 164, 1389, 14099, 1.4, 1605.4, 2373.4
1, 127630, 05/12/2018 14:20:05, ADW_UNLOAD_GROUP, 17.2, 29.8, 5978.3, 10.4, 12, 0.6, 38, 456, 1306, 14162, 2.2, 3289.7, 5778.7
